t,aggregate_A_t
1256,0.5103333333333333
1257,0.5073333333333333
1258,0.49966666666666665
1259,0.5066666666666667
1260,0.51
1261,0.5116666666666667
1262,0.5053333333333333
1263,0.5026666666666667
1264,0.5046666666666667
1265,0.5143333333333333
1266,0.5083333333333333
1267,0.5013333333333333
1268,0.492
1269,0.49166666666666664
1270,0.5
1271,0.4866666666666667
1272,0.49
1273,0.49933333333333335
1274,0.494
1275,0.49566666666666664
1276,0.495
1277,0.49433333333333335
1278,0.49333333333333335
1279,0.5023333333333333
1280,0.49866666666666665
1281,0.5046666666666667
1282,0.514
1283,0.5106666666666667
1284,0.518
1285,0.508
1286,0.49033333333333334
1287,0.504
1288,0.498
1289,0.49866666666666665
1290,0.49933333333333335
1291,0.4856666666666667
1292,0.49066666666666664
1293,0.505
1294,0.494
1295,0.5133333333333333
1296,0.518
1297,0.49433333333333335
1298,0.4866666666666667
1299,0.486
1300,0.496
1301,0.49466666666666664
1302,0.48933333333333334
1303,0.494
1304,0.508
1305,0.49833333333333335
1306,0.496
1307,0.4876666666666667
1308,0.5056666666666667
1309,0.5173333333333333
1310,0.514
1311,0.504
1312,0.501
1313,0.488
1314,0.492
1315,0.4816666666666667
1316,0.499
1317,0.5016666666666667
1318,0.49033333333333334
1319,0.49866666666666665
1320,0.5076666666666667
1321,0.5016666666666667
1322,0.49633333333333335
1323,0.515
1324,0.513
1325,0.49866666666666665
1326,0.49933333333333335
1327,0.4876666666666667
1328,0.503
1329,0.5023333333333333
1330,0.505
1331,0.5066666666666667
1332,0.5073333333333333
1333,0.497
1334,0.49433333333333335
1335,0.48233333333333334
1336,0.4886666666666667
1337,0.508
1338,0.49933333333333335
1339,0.488
1340,0.4876666666666667
1341,0.489
1342,0.48033333333333333
1343,0.495
1344,0.494
1345,0.49666666666666665
1346,0.4726666666666667
1347,0.49366666666666664
1348,0.49766666666666665
1349,0.5066666666666667
1350,0.511
1351,0.49433333333333335
1352,0.5073333333333333
1353,0.497
1354,0.4866666666666667
1355,0.49466666666666664
1356,0.5036666666666667
1357,0.5036666666666667
1358,0.506
1359,0.501
1360,0.5053333333333333
1361,0.512
1362,0.505
1363,0.5023333333333333
1364,0.49666666666666665
1365,0.512
1366,0.5083333333333333
1367,0.515
1368,0.501
1369,0.5126666666666667
1370,0.487
1371,0.496
1372,0.5003333333333333
1373,0.502
1374,0.505
1375,0.5106666666666667
1376,0.5006666666666667
1377,0.49
1378,0.48966666666666664
1379,0.494
1380,0.49566666666666664
1381,0.49633333333333335
1382,0.494
1383,0.48966666666666664
1384,0.48933333333333334
1385,0.49033333333333334
1386,0.49366666666666664
1387,0.506
1388,0.5096666666666667
1389,0.499
1390,0.4816666666666667
1391,0.47533333333333333
1392,0.49333333333333335
1393,0.5006666666666667
1394,0.49133333333333334
1395,0.48533333333333334
1396,0.48333333333333334
1397,0.49333333333333335
1398,0.49033333333333334
1399,0.49666666666666665
1400,0.493
1401,0.49333333333333335
1402,0.49066666666666664
1403,0.49266666666666664
1404,0.49966666666666665
1405,0.49233333333333335
1406,0.49433333333333335
1407,0.49466666666666664
1408,0.485
1409,0.477
1410,0.482
1411,0.49866666666666665
1412,0.496
1413,0.489
1414,0.49433333333333335
1415,0.47733333333333333
1416,0.48333333333333334
1417,0.48966666666666664
1418,0.5023333333333333
1419,0.496
1420,0.49566666666666664
1421,0.49933333333333335
1422,0.506
1423,0.513
1424,0.5123333333333333
1425,0.5233333333333333
1426,0.5063333333333333
1427,0.508
1428,0.5153333333333333
1429,0.515
1430,0.5073333333333333
1431,0.498
1432,0.5046666666666667
1433,0.5046666666666667
1434,0.49033333333333334
