t,q_t,p_t
920,-0.9770319198775212,-0.21309033841250483
921,-0.9791139716656524,-0.20330960895478897
922,-0.981098112056617,-0.19350854853617763
923,-0.9829841426363759,-0.18368813726271266
924,-0.9847718748018712,-0.1738493571755214
925,-0.9864611297798863,-0.16399319215261263
926,-0.9880517386449235,-0.15412062781048858
927,-0.9895435423360961,-0.14423265140558347
928,-0.9909363916730352,-0.1343302517355378
929,-0.9922301473708068,-0.1244144190403186
930,-0.9934246800538414,-0.11448614490319535
931,-0.9945198702688707,-0.10454642215158179
932,-0.995515608496873,-0.09459624475775308
933,-0.9964117951640257,-0.08463660773944859
934,-0.997208340651662,-0.07466850706037015
935,-0.9979051653052331,-0.06469293953058568
936,-0.9985021994422737,-0.05471090270684814
937,-0.9989993833593701,-0.044723394792839925
938,-0.9993966673381305,-0.034731414539352426
939,-0.9996940116501571,-0.02473596114441099
940,-0.9998913865610187,-0.014738034153355114
941,-0.9999887723332243,-0.0047386333588839
942,-0.9999861592281964,0.005261241298923204
943,-0.9998835475072458,0.015260589832600415
944,-0.9996809474315445,0.025258412307294364
945,-0.9993783792611,0.035253708940757585
946,-0.9989758732527293,0.04524548020332673
947,-0.9984734696570334,0.05523272691787554
